FD Model,ML Model,Accuracy,Precision (0),Precision (1),Recall (0),Recall (1),F1 (0),F1 (1)
Model 1 - Altman,XGBoost,0.956140350877193,0.9527498063516654,0.9611428571428572,0.9731012658227848,0.9323725055432373,0.9628180039138943,0.9465391108610017
Model 1 - Altman,ANN,0.7017543859649122,0.6983311938382541,0.7105263157894737,0.8607594936708861,0.4789356984478936,0.7710843373493976,0.5721854304635762
Model 1 - Altman,CNN,0.7386888273314867,0.8483033932135728,0.6443298969072165,0.6724683544303798,0.8314855875831486,0.7502206531332745,0.7260406582768635
Model 2 - Zmijewski,XGBoost,0.9963065558633426,0.9966869133075649,0.9943661971830986,0.9988931931377975,0.9832869080779945,0.9977888336097291,0.988795518207283
Model 2 - Zmijewski,ANN,0.8347183748845799,0.8346420323325635,1.0,1.0,0.002785515320334262,0.9098690835850957,0.005555555555555556
Model 2 - Zmijewski,CNN,0.930286241920591,0.9769585253456221,0.7418604651162791,0.9385722191477587,0.8885793871866295,0.9573807507761783,0.8086185044359949
