Year,Observations,Percentage (%)
2010,323,2.98355810086828
2011,362,3.343801958248661
2012,418,3.8610751893589508
2013,420,3.8795492333271753
2014,525,4.849436541658969
2015,735,6.789211158322557
2016,881,8.137816368002957
2017,956,8.830593016811381
2018,963,8.895252170700166
2019,1018,9.403288379826344
2020,1035,9.560317753556253
2021,1062,9.809717347127286
2022,1066,9.846665435063736
2023,1062,9.809717347127286
Total,10826,100.0
